Raw Input Value,Resolved Canonical Entity
OpenAI,OpenAI
Anthropic,Anthropic
Scale AI,Scale
Perplexity,Perplexity
Mistral AI,Mistral
GitHub Copilot,GitHub Copilot
Figma AI,Figma
Stripe Radar AI,Stripe Radar
Notion Q&A AI,Notion Q&A
Slack AI Assistant,Slack AI Assistant
Lemon.io,Lemon.io
TELUS Digital,TELUS Digital
Shatterproof,Shatterproof
A.Team,A.Team
garden3d,garden3d
OpenAI,OpenAI
Anthropic,Anthropic
Scale AI,Scale
Perplexity,Perplexity
Mistral AI,Mistral
GitHub Copilot,GitHub Copilot
Figma AI,Figma
Stripe Radar AI,Stripe Radar
Notion Q&A AI,Notion Q&A
Slack AI Assistant,Slack AI Assistant
Lemon.io,Lemon.io
TELUS Digital,TELUS Digital
Shatterproof,Shatterproof
A.Team,A.Team
garden3d,garden3d
OpenAI,OpenAI
Anthropic,Anthropic
Scale AI,Scale
Perplexity,Perplexity
Mistral AI,Mistral
GitHub Copilot,GitHub Copilot
Figma AI,Figma
Stripe Radar AI,Stripe Radar
Notion Q&A AI,Notion Q&A
Slack AI Assistant,Slack AI Assistant
Lemon.io,Lemon.io
TELUS Digital,TELUS Digital
Shatterproof,Shatterproof
A.Team,A.Team
garden3d,garden3d
Cribl,Cribl
OpenAI,OpenAI
Anthropic,Anthropic
Scale AI,Scale
Perplexity,Perplexity
Mistral AI,Mistral
GitHub Copilot,GitHub Copilot
Figma AI,Figma
Stripe Radar AI,Stripe Radar
Notion Q&A AI,Notion Q&A
Slack AI Assistant,Slack AI Assistant
Lemon.io,Lemon.io
TELUS Digital,TELUS Digital
Shatterproof,Shatterproof
A.Team,A.Team
garden3d,garden3d
Cribl,Cribl
OpenAI,OpenAI
Anthropic,Anthropic
Scale AI,Scale
Perplexity,Perplexity
Mistral AI,Mistral
GitHub Copilot,GitHub Copilot
Figma AI,Figma
Stripe Radar AI,Stripe Radar
Notion Q&A AI,Notion Q&A
Slack AI Assistant,Slack AI Assistant
Lemon.io,Lemon.io
TELUS Digital,TELUS Digital
Shatterproof,Shatterproof
A.Team,A.Team
garden3d,garden3d
Cribl,Cribl
