Product Name,Pricing Model,Source Name,Source URL,Collected At
GitHub Copilot,PAID,Product Registry,https://github.com/ai,2026-08-30T07:26:45.711855+00:00
Figma,FREEMIUM,Product Registry,https://figma.com/ai,2026-08-30T07:26:45.711855+00:00
Stripe Radar,ENTERPRISE,Product Registry,https://stripe.com/ai,2026-08-30T07:26:45.711855+00:00
Notion Q&A,FREEMIUM,Product Registry,https://notion.com/ai,2026-08-30T07:26:45.711855+00:00
Slack AI Assistant,PAID,Product Registry,https://slack.com/ai,2026-08-30T07:26:45.711855+00:00
GitHub Copilot,PAID,Product Registry,https://github.com/ai,2026-08-30T07:28:49.226509+00:00
Figma,FREEMIUM,Product Registry,https://figma.com/ai,2026-08-30T07:28:49.226509+00:00
Stripe Radar,ENTERPRISE,Product Registry,https://stripe.com/ai,2026-08-30T07:28:49.226509+00:00
Notion Q&A,FREEMIUM,Product Registry,https://notion.com/ai,2026-08-30T07:28:49.226509+00:00
Slack AI Assistant,PAID,Product Registry,https://slack.com/ai,2026-08-30T07:28:49.226509+00:00
GitHub Copilot,PAID,Product Registry,https://github.com/ai,2026-08-30T07:33:28.264941+00:00
Figma,FREEMIUM,Product Registry,https://figma.com/ai,2026-08-30T07:33:28.264941+00:00
Stripe Radar,ENTERPRISE,Product Registry,https://stripe.com/ai,2026-08-30T07:33:28.264941+00:00
Notion Q&A,FREEMIUM,Product Registry,https://notion.com/ai,2026-08-30T07:33:28.264941+00:00
Slack AI Assistant,PAID,Product Registry,https://slack.com/ai,2026-08-30T07:33:28.264941+00:00
GitHub Copilot,PAID,Product Registry,https://github.com/ai,2026-08-30T07:40:54.112157+00:00
Figma,FREEMIUM,Product Registry,https://figma.com/ai,2026-08-30T07:40:54.112157+00:00
Stripe Radar,ENTERPRISE,Product Registry,https://stripe.com/ai,2026-08-30T07:40:54.112157+00:00
Notion Q&A,FREEMIUM,Product Registry,https://notion.com/ai,2026-08-30T07:40:54.112157+00:00
Slack AI Assistant,PAID,Product Registry,https://slack.com/ai,2026-08-30T07:40:54.112157+00:00
GitHub Copilot,PAID,Product Registry,https://github.com/ai,2026-08-30T07:42:46.522321+00:00
Figma,FREEMIUM,Product Registry,https://figma.com/ai,2026-08-30T07:42:46.522321+00:00
Stripe Radar,ENTERPRISE,Product Registry,https://stripe.com/ai,2026-08-30T07:42:46.522321+00:00
Notion Q&A,FREEMIUM,Product Registry,https://notion.com/ai,2026-08-30T07:42:46.522321+00:00
Slack AI Assistant,PAID,Product Registry,https://slack.com/ai,2026-08-30T07:42:46.522321+00:00
