Title,Authors,Paper URL,GitHub URL,GitHub Stars,Published Date
WikiSkill: Compiling Agent Experience into Persistent Knowledge for Skill Evolution,"Liyan Tang, Cyrus Rashtchian, Chun-Sung Ferng, Andrew Tomkins, Da-Cheng Juan, Tu Vu",http://arxiv.org/abs/2608.27454v1,None,0,2026-08-27
"SWE-Prime: Fewer Trajectories, Better Performance","Dewu Zheng, Ruizhe Ye, Yanlin Wang, Yang Ye, Hongyu Zhang, Ensheng Shi, Xilin Liu, Yuchi Ma, Jianxing Yu, Zibin Zheng",http://arxiv.org/abs/2608.27449v1,None,0,2026-08-27
From Static to Dynamic: Benchmarking Real-World Code Review with MCR-Bench,"Dewu Zheng, Yanlin Wang, Xiwen Wang, Kefeng Duan, Hongyu Zhang, Xilin Liu, Yuchi Ma, Zibin Zheng",http://arxiv.org/abs/2608.27442v1,None,0,2026-08-27
RedEvoAgent: Automatic Red-Teaming Agent with Experience-Driven Skill Evolution,"Junjie Zhang, Hui Liu, Kecheng Chen, Xianbo Mo, Changsheng Chen, Haoliang Li",http://arxiv.org/abs/2608.27439v1,None,0,2026-08-27
Mechanistic Reaction Prediction via Discrete Flow Matching on Graph-Structured Electron Occupation,"Nguyen Xuan-Vu, Octavian Susanu, Daniel Armstrong, Philippe Schwaller",http://arxiv.org/abs/2608.27429v1,None,0,2026-08-27
WikiSkill: Compiling Agent Experience into Persistent Knowledge for Skill Evolution,"Liyan Tang, Cyrus Rashtchian, Chun-Sung Ferng, Andrew Tomkins, Da-Cheng Juan, Tu Vu",http://arxiv.org/abs/2608.27454v1,None,0,2026-08-27
"SWE-Prime: Fewer Trajectories, Better Performance","Dewu Zheng, Ruizhe Ye, Yanlin Wang, Yang Ye, Hongyu Zhang, Ensheng Shi, Xilin Liu, Yuchi Ma, Jianxing Yu, Zibin Zheng",http://arxiv.org/abs/2608.27449v1,None,0,2026-08-27
From Static to Dynamic: Benchmarking Real-World Code Review with MCR-Bench,"Dewu Zheng, Yanlin Wang, Xiwen Wang, Kefeng Duan, Hongyu Zhang, Xilin Liu, Yuchi Ma, Zibin Zheng",http://arxiv.org/abs/2608.27442v1,None,0,2026-08-27
RedEvoAgent: Automatic Red-Teaming Agent with Experience-Driven Skill Evolution,"Junjie Zhang, Hui Liu, Kecheng Chen, Xianbo Mo, Changsheng Chen, Haoliang Li",http://arxiv.org/abs/2608.27439v1,None,0,2026-08-27
Mechanistic Reaction Prediction via Discrete Flow Matching on Graph-Structured Electron Occupation,"Nguyen Xuan-Vu, Octavian Susanu, Daniel Armstrong, Philippe Schwaller",http://arxiv.org/abs/2608.27429v1,None,0,2026-08-27
