Entity Name,Employee Count,Source Name,Source URL,Collected At
OpenAI,1200,Y Combinator Directory,https://www.ycombinator.com/companies/openai,2026-08-30T07:26:50.212641+00:00
Anthropic,500,Y Combinator Directory,https://www.ycombinator.com/companies/anthropic,2026-08-30T07:26:50.212641+00:00
Scale,800,Y Combinator Directory,https://www.ycombinator.com/companies/scale-ai,2026-08-30T07:26:50.212641+00:00
Perplexity,60,Y Combinator Directory,https://www.ycombinator.com/companies/perplexity,2026-08-30T07:26:50.212641+00:00
Mistral,45,Y Combinator Directory,https://www.ycombinator.com/companies/mistral-ai,2026-08-30T07:26:50.212641+00:00
OpenAI,1200,Y Combinator Directory,https://www.ycombinator.com/companies/openai,2026-08-30T07:28:55.126040+00:00
Anthropic,500,Y Combinator Directory,https://www.ycombinator.com/companies/anthropic,2026-08-30T07:28:55.126040+00:00
Scale,800,Y Combinator Directory,https://www.ycombinator.com/companies/scale-ai,2026-08-30T07:28:55.126040+00:00
Perplexity,60,Y Combinator Directory,https://www.ycombinator.com/companies/perplexity,2026-08-30T07:28:55.126040+00:00
Mistral,45,Y Combinator Directory,https://www.ycombinator.com/companies/mistral-ai,2026-08-30T07:28:55.126040+00:00
OpenAI,1200,Y Combinator Directory,https://www.ycombinator.com/companies/openai,2026-08-30T07:33:32.651532+00:00
Anthropic,500,Y Combinator Directory,https://www.ycombinator.com/companies/anthropic,2026-08-30T07:33:32.651532+00:00
Scale,800,Y Combinator Directory,https://www.ycombinator.com/companies/scale-ai,2026-08-30T07:33:32.651532+00:00
Perplexity,60,Y Combinator Directory,https://www.ycombinator.com/companies/perplexity,2026-08-30T07:33:32.651532+00:00
Mistral,45,Y Combinator Directory,https://www.ycombinator.com/companies/mistral-ai,2026-08-30T07:33:32.651532+00:00
OpenAI,1200,Y Combinator Directory,https://www.ycombinator.com/companies/openai,2026-08-30T07:41:02.307955+00:00
Anthropic,500,Y Combinator Directory,https://www.ycombinator.com/companies/anthropic,2026-08-30T07:41:02.307955+00:00
Scale,800,Y Combinator Directory,https://www.ycombinator.com/companies/scale-ai,2026-08-30T07:41:02.307955+00:00
Perplexity,60,Y Combinator Directory,https://www.ycombinator.com/companies/perplexity,2026-08-30T07:41:02.307955+00:00
Mistral,45,Y Combinator Directory,https://www.ycombinator.com/companies/mistral-ai,2026-08-30T07:41:02.307955+00:00
OpenAI,1200,Y Combinator Directory,https://www.ycombinator.com/companies/openai,2026-08-30T07:42:49.650109+00:00
Anthropic,500,Y Combinator Directory,https://www.ycombinator.com/companies/anthropic,2026-08-30T07:42:49.650109+00:00
Scale,800,Y Combinator Directory,https://www.ycombinator.com/companies/scale-ai,2026-08-30T07:42:49.650109+00:00
Perplexity,60,Y Combinator Directory,https://www.ycombinator.com/companies/perplexity,2026-08-30T07:42:49.650109+00:00
Mistral,45,Y Combinator Directory,https://www.ycombinator.com/companies/mistral-ai,2026-08-30T07:42:49.650109+00:00
